F S   UID    PID   PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0    984      1  0  80   0 - 73051 -      ?        00:00:00 lightdm
4 S     0   1002    984  1  80   0 - 106616 -     tty7     00:00:33 Xorg
4 S 65534   1035    766  0  80   0 - 13218 -      ?        00:00:00 dnsmasq
4 S     0   1279    984  0  80   0 - 57601 -      ?        00:00:00 lightdm
4 S   118   1346      1  0  81   1 - 45887 -      ?        00:00:00 rtkit-daemon
4 S     0   1356      1  0  80   0 - 86787 -      ?        00:00:00 upowerd
5 S     0   1379      2  0  70 -10 -     0 -      ?        00:00:00 krfcommd
4 S   113   1381      1  0  80   0 - 78397 -      ?        00:00:00 colord
4 S  1000   1398      1  0  80   0 - 11313 ep_pol ?        00:00:00 systemd
5 S  1000   1400   1398  0  80   0 - 15880 -      ?        00:00:00 (sd-pam)
1 S  1000   1407      1  0  80   0 - 51306 -      ?        00:00:00 gnome-keyring-d
4 S  1000   1409   1279  0  80   0 - 11617 poll_s ?        00:00:00 upstart
1 S  1000   1493   1409  0  80   0 -  8216 poll_s ?        00:00:00 upstart-udev-br
1 S  1000   1497   1409  0  80   0 - 10972 ep_pol ?        00:00:01 dbus-daemon
0 S  1000   1509   1409  0  80   0 - 21588 poll_s ?        00:00:00 window-stack-br
1 S  1000   1536   1409  0  80   0 - 89852 poll_s ?        00:00:01 ibus-daemon
1 S  1000   1564   1409  0  80   0 -  8200 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000   1566   1409  0  80   0 -  8225 poll_s ?        00:00:00 upstart-dbus-br
0 S  1000   1570   1409  0  80   0 - 68632 poll_s ?        00:00:00 gvfsd
0 S  1000   1575   1409  0  80   0 - 104991 futex_ ?       00:00:00 gvfsd-fuse
0 S  1000   1584   1536  0  80   0 - 69384 poll_s ?        00:00:00 ibus-dconf
1 S  1000   1585   1409  0  80   0 - 41636 -      ?        00:00:01 gpg-agent
0 S  1000   1586   1536  0  80   0 - 118088 poll_s ?       00:00:00 ibus-ui-gtk3
0 S  1000   1590   1409  0  80   0 - 105707 poll_s ?       00:00:00 ibus-x11
1 S  1000   1595   1409  0  80   0 - 10323 poll_s ?        00:00:00 upstart-file-br
0 S  1000   1606   1409  0  80   0 - 88432 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000   1611   1606  0  80   0 - 10726 ep_pol ?        00:00:00 dbus-daemon
0 S  1000   1617   1409  0  80   0 - 51744 poll_s ?        00:00:00 at-spi2-registr
0 S  1000   1618   1409  0  80   0 - 129704 poll_s ?       00:00:01 bamfdaemon
0 S  1000   1621   1536  0  80   0 - 50450 poll_s ?        00:00:00 ibus-engine-sim
0 S  1000   1633   1409  0  80   0 - 164194 poll_s ?       00:00:03 hud-service
0 S  1000   1635   1409  0  80   0 - 213976 poll_s ?       00:00:00 unity-settings-
0 S  1000   1648   1409  0  80   0 - 140456 poll_s ?       00:00:00 gnome-session-b
0 S  1000   1653   1409  0  80   0 - 160345 poll_s ?       00:00:02 unity-panel-ser
0 S  1000   1666   1409  1  80   0 - 310285 poll_s ?       00:00:31 compiz
0 S  1000   1683   1409  0  80   0 - 90062 poll_s ?        00:00:00 indicator-messa
0 S  1000   1684   1409  0  80   0 - 87307 poll_s ?        00:00:00 indicator-bluet
0 S  1000   1685   1409  0  80   0 - 89885 poll_s ?        00:00:00 indicator-power
0 S  1000   1686   1409  0  80   0 - 310115 poll_s ?       00:00:00 indicator-datet
0 S  1000   1689   1409  0  80   0 - 195399 poll_s ?       00:00:00 indicator-keybo
0 S  1000   1690   1409  0  80   0 - 189422 poll_s ?       00:00:00 indicator-sound
0 S  1000   1694   1409  0  80   0 - 135594 poll_s ?       00:00:00 indicator-print
0 S  1000   1697   1409  0  80   0 - 126292 poll_s ?       00:00:00 indicator-sessi
1 S  1000   1724   1409  0  80   0 - 108702 poll_s ?       00:00:00 pulseaudio
0 S  1000   1733   1409  0  80   0 - 98987 poll_s ?        00:00:00 indicator-appli
0 S  1000   1744   1409  0  80   0 - 157924 poll_s ?       00:00:00 evolution-sourc
0 S  1000   1753   1409  0  80   0 - 44666 poll_s ?        00:00:00 dconf-service
0 S  1000   1791   1648  0  80   0 - 305474 poll_s ?       00:00:08 nautilus
0 S  1000   1792   1648  0  80   0 - 106079 poll_s ?       00:00:00 polkit-gnome-au
0 S  1000   1798   1648  0  80   0 - 166684 poll_s ?       00:00:00 nm-applet
0 S  1000   1799   1409  0  80   0 - 125312 poll_s ?       00:00:22 vmtoolsd
0 S  1000   1801   1648  0  80   0 - 142397 poll_s ?       00:00:00 unity-fallback-
0 S  1000   1815   1409  0  80   0 - 215589 poll_s ?       00:00:00 evolution-calen
0 S  1000   1820   1409  0  80   0 - 74098 poll_s ?        00:00:00 gvfs-udisks2-vo
4 S     0   1827      1  0  80   0 - 95748 -      ?        00:00:00 udisksd
0 S  1000   1836   1409  0  80   0 - 64384 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000   1841   1409  0  80   0 - 100905 poll_s ?       00:00:00 gvfs-afc-volume
0 S  1000   1847   1409  0  80   0 - 67931 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000   1855   1409  0  80   0 - 64882 poll_s ?        00:00:00 gvfs-mtp-volume
4 S     0   1861      1  0  80   0 - 158816 -     ?        00:00:00 fwupd
0 S  1000   1878   1409  0  80   0 - 90919 poll_s ?        00:00:00 gvfsd-trash
0 S  1000   1881   1815  0  80   0 - 203556 poll_s ?       00:00:00 evolution-calen
0 S  1000   1897   1409  0  80   0 - 174325 poll_s ?       00:00:00 evolution-addre
0 S  1000   1898   1815  0  80   0 - 201700 poll_s ?       00:00:00 evolution-calen
0 S  1000   1912   1897  0  80   0 - 193196 poll_s ?       00:00:00 evolution-addre
0 S  1000   1957   1648  0  80   0 - 124767 poll_s ?       00:00:00 zeitgeist-datah
0 S  1000   1964   1409  0  80   0 -  1128 wait   ?        00:00:00 sh
0 S  1000   1968   1964  0  80   0 - 105862 poll_s ?       00:00:00 zeitgeist-daemo
0 S  1000   1975   1409  0  80   0 - 80388 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000   2024   1648  0  80   0 - 129766 poll_s ?       00:00:00 update-notifier
0 S  1000   2057   1409  0  80   0 - 228254 poll_s ?       00:00:00 gvfsd-network
0 S  1000   2100   1409  0  80   0 - 46496 poll_s ?        00:00:08 gvfsd-metadata
0 S  1000   2112   1648  0  80   0 - 128772 poll_s ?       00:00:00 deja-dup-monito
1 S  1000   2125   1409  0  80   0 - 300409 poll_s ?       00:00:06 sublime_text
0 S  1000   2140   2125  0  80   0 - 29866 futex_ ?        00:00:00 plugin_host
