UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
root        819      1    944  0    7 20:54 ?        00:00:00 /usr/lib/snapd/snapd
root        819      1    945  0    7 20:54 ?        00:00:00 /usr/lib/snapd/snapd
root        819      1    946  0    7 20:54 ?        00:00:00 /usr/lib/snapd/snapd
root        819      1    991  0    7 20:54 ?        00:00:00 /usr/lib/snapd/snapd
root        819      1    992  0    7 20:54 ?        00:00:00 /usr/lib/snapd/snapd
root        819      1    993  0    7 20:54 ?        00:00:00 /usr/lib/snapd/snapd
root        889      1    889  0    1 20:54 ?        00:00:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root        891      1    891  0    3 20:54 ?        00:00:00 /usr/sbin/cups-browsed
root        891      1    975  0    3 20:54 ?        00:00:00 /usr/sbin/cups-browsed
root        891      1    976  0    3 20:54 ?        00:00:00 /usr/sbin/cups-browsed
root        893      1    893  0    3 20:54 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        893      1    929  0    3 20:54 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        893      1    931  0    3 20:54 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        896      1    896  0    1 20:54 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root        901      1    901  0    1 20:54 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root        928      2    928  0    1 20:54 ?        00:00:02 [kworker/0:1H]
root        984      1    984  0    3 20:54 ?        00:00:00 /usr/sbin/lightdm
root        984      1    997  0    3 20:54 ?        00:00:00 /usr/sbin/lightdm
root        984      1   1000  0    3 20:54 ?        00:00:00 /usr/sbin/lightdm
root       1002    984   1002  1    1 20:54 tty7     00:00:40 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
nobody     1035    766   1035  0    1 20:54 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root       1279    984   1279  0    3 20:54 ?        00:00:00 lightdm --session-child 12 19
root       1279    984   1393  0    3 20:54 ?        00:00:00 lightdm --session-child 12 19
root       1279    984   1394  0    3 20:54 ?        00:00:00 lightdm --session-child 12 19
rtkit      1346      1   1346  0    3 20:54 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit      1346      1   1349  0    3 20:54 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit      1346      1   1350  0    3 20:54 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root       1356      1   1356  0    3 20:54 ?        00:00:00 /usr/lib/upower/upowerd
root       1356      1   1360  0    3 20:54 ?        00:00:00 /usr/lib/upower/upowerd
root       1356      1   1361  0    3 20:54 ?        00:00:00 /usr/lib/upower/upowerd
root       1379      2   1379  0    1 20:54 ?        00:00:00 [krfcommd]
colord     1381      1   1381  0    3 20:54 ?        00:00:00 /usr/lib/colord/colord
colord     1381      1   1384  0    3 20:54 ?        00:00:00 /usr/lib/colord/colord
colord     1381      1   1386  0    3 20:54 ?        00:00:00 /usr/lib/colord/colord
udaree     1398      1   1398  0    1 20:54 ?        00:00:00 /lib/systemd/systemd --user
udaree     1400   1398   1400  0    1 20:54 ?        00:00:00 (sd-pam)
udaree     1407      1   1407  0    4 20:54 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
udaree     1407      1   1408  0    4 20:54 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
udaree     1407      1   1531  0    4 20:54 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
udaree     1407      1   1542  0    4 20:54 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
udaree     1409   1279   1409  0    1 20:54 ?        00:00:00 /sbin/upstart --user
udaree     1493   1409   1493  0    1 20:54 ?        00:00:00 upstart-udev-bridge --daemon --user
udaree     1497   1409   1497  0    1 20:54 ?        00:00:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-dMBEqRNwPn
udaree     1509   1409   1509  0    1 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
udaree     1536   1409   1536  0    3 20:54 ?        00:00:01 /usr/bin/ibus-daemon --daemonize --xim
udaree     1536   1409   1567  0    3 20:54 ?        00:00:00 /usr/bin/ibus-daemon --daemonize --xim
udaree     1536   1409   1568  0    3 20:54 ?        00:00:01 /usr/bin/ibus-daemon --daemonize --xim
udaree     1564   1409   1564  0    1 20:54 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
udaree     1566   1409   1566  0    1 20:54 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
udaree     1570   1409   1570  0    3 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd
udaree     1570   1409   1571  0    3 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd
udaree     1570   1409   1572  0    3 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd
udaree     1575   1409   1575  0    6 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
udaree     1575   1409   1578  0    6 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
udaree     1575   1409   1579  0    6 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
udaree     1575   1409   1580  0    6 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
udaree     1575   1409   1581  0    6 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
udaree     1575   1409   1582  0    6 20:54 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
udaree     1584   1536   1584  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-dconf
udaree     1584   1536   1587  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-dconf
udaree     1584   1536   1588  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-dconf
udaree     1584   1536   1596  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-dconf
udaree     1585   1409   1585  0    1 20:54 ?        00:00:01 gpg-agent --homedir /home/udaree/.gnupg --use-standard-socket --daemon
udaree     1586   1536   1586  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
udaree     1586   1536   1601  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
udaree     1586   1536   1602  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
udaree     1586   1536   1604  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
udaree     1590   1409   1590  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
udaree     1590   1409   1599  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
udaree     1590   1409   1600  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
udaree     1590   1409   1603  0    4 20:54 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
udaree     1595   1409   1595  0    1 20:54 ?        00:00:00 upstart-file-bridge --daemon --user
udaree     1606   1409   1606  0    4 20:54 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
udaree     1606   1409   1607  0    4 20:54 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
udaree     1606   1409   1608  0    4 20:54 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
udaree     1606   1409   1609  0    4 20:54 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
udaree     1611   1606   1611  0    1 20:54 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
udaree     1617   1409   1617  0    3 20:54 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
udaree     1617   1409   1619  0    3 20:54 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
udaree     1617   1409   1620  0    3 20:54 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
udaree     1618   1409   1618  0    4 20:54 ?        00:00:01 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
udaree     1618   1409   1659  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
udaree     1618   1409   1660  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
udaree     1618   1409   1661  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
udaree     1621   1536   1621  0    3 20:54 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
udaree     1621   1536   1622  0    3 20:54 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
udaree     1621   1536   1623  0    3 20:54 ?        00:00:00 /usr/lib/ibus/ibus-engine-simple
udaree     1633   1409   1633  0    4 20:54 ?        00:00:03 /usr/lib/x86_64-linux-gnu/hud/hud-service
udaree     1633   1409   1848  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
udaree     1633   1409   1849  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
udaree     1633   1409   1850  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/hud-service
udaree     1635   1409   1635  0    4 20:54 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
udaree     1635   1409   1639  0    4 20:54 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
udaree     1635   1409   1640  0    4 20:54 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
udaree     1635   1409   1641  0    4 20:54 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-settings-daemon
udaree     1648   1409   1648  0    4 20:54 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
udaree     1648   1409   1669  0    4 20:54 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
udaree     1648   1409   1670  0    4 20:54 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
udaree     1648   1409   1732  0    4 20:54 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
udaree     1653   1409   1653  0    4 20:54 ?        00:00:02 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
udaree     1653   1409   1663  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
udaree     1653   1409   1664  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
udaree     1653   1409   1665  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
udaree     1666   1409   1666  1    6 20:54 ?        00:00:36 compiz
udaree     1666   1409   1695  0    6 20:54 ?        00:00:00 compiz
udaree     1666   1409   1773  0    6 20:54 ?        00:00:00 compiz
udaree     1666   1409   1774  0    6 20:54 ?        00:00:00 compiz
udaree     1666   1409   5743  0    6 21:11 ?        00:00:00 compiz
udaree     1666   1409   5744  0    6 21:11 ?        00:00:00 compiz
udaree     1683   1409   1683  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
udaree     1683   1409   1687  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
udaree     1683   1409   1698  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
udaree     1683   1409   1716  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
udaree     1684   1409   1684  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
udaree     1684   1409   1691  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
udaree     1684   1409   1693  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
udaree     1684   1409   1696  0    4 20:54 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
